//configuration
//#alleledigits(1~4)	#outputdigits(0~10)	#missingallele	#ambiguousallele	#nthreads(1~64)
3	8	000	999	4
//genotype		
Ind	Pop	Am059	Am14	Am005	Am46	Am52	Am061
Q1	C1	217223	136140	100108	094101	140143	230230
W1_1	C1	000000	000000	100111	094120	140147	217230
W1_2	C1	000000	000000	100105	101101	143157	215230
W1_3	C1	000000	000000	100111	101120	143143	219230
W1_4	C1	000000	000000	108115	099101	143150	228230
W1_5	C1	000000	000000	099108	092101	140154	230230
W1_6	C1	000000	000000	100111	101112	143154	219230
W1_7	C1	000000	000000	100107	096101	143154	000000
W1_9	C1	000000	000000	000000	094096	000000	000000
W1_10	C1	000000	000000	099108	094101	140150	215230
W1_11	C1	000000	000000	100106	094101	143143	217230
W1_12	C1	000000	000000	099100	092101	140154	230230
W1_13	C1	000000	000000	102108	094101	143150	217230
W1_14	C1	000000	000000	108111	094112	143154	219230
W1_15	C1	000000	000000	105108	094101	143157	215230
W1_16	C1	000000	000000	108111	094120	140147	217230
W1_17	C1	000000	000000	107108	097101	143153	224230
W1_18	C1	000000	000000	100100	094101	140147	223230
W1_19	C1	000000	000000	100100	097101	140145	217230
W1_20	C1	000000	000000	108113	094097	143143	230234
W1_21	C1	000000	000000	100100	097101	140145	217230
W1_22	C1	000000	000000	100111	101104	140147	221230
W1_23	C1	000000	000000	108108	101101	140147	223230
W1_24	C1	000000	000000	108113	094096	140144	230234
W1_25	C1	000000	000000	099108	094101	140150	215230
W1_26	C1	000000	000000	108108	094110	140144	230235
W1_27	C1	000000	000000	108115	094099	140150	228230
W1_28	C1	000000	000000	107108	094097	143153	224230
W1_29	C1	000000	000000	100105	101101	140153	230232
W1_30	C1	000000	000000	100111	094112	143154	219230
W1_31	C1	000000	000000	099100	092101	143154	219230
W1_32	C1	000000	000000	100105	094094	140153	230232
W1_33	C1	000000	000000	099108	092094	143154	219230
W1_34	C1	000000	000000	105108	094101	143157	215230
W1_35	C1	000000	000000	097100	101114	140150	211230
W1_36	C1	000000	000000	108108	101101	140147	223230
W1_37	C1	000000	000000	108117	094099	140143	230234
W1_38	C1	000000	000000	108108	094110	143143	230235
W1_39	C1	000000	000000	102108	101108	140150	219230
W1_40	C1	000000	000000	100115	099101	140150	228230
W1_41	C1	000000	000000	108111	094120	143147	217230
W1_42	C1	000000	000000	100100	101101	140150	217230
W1_43	C1	000000	000000	102108	094108	000000	219230
W1_44	C1	000000	000000	100111	101112	143154	219230
W1_45	C1	000000	000000	100105	094101	140150	219230
W1_46	C1	000000	000000	100100	094096	140145	217230
W1_47	C1	000000	000000	099108	092094	143154	219230
W1_48	C1	000000	000000	102108	101101	140150	217230
W1_49	C1	000000	000000	105108	094101	143150	219230
W1_50	C1	000000	000000	105108	094094	143153	230232
W1_51	C1	000000	000000	108111	101112	140154	219230
W1_52	C1	000000	000000	100115	094099	143150	228230
W1_53	C1	000000	000000	100102	101108	143150	219230
W1_54	C1	000000	000000	108117	099101	140143	230234
W1_55	C1	000000	000000	105108	101101	140157	215230
W1_56	C1	000000	000000	100105	094101	140157	215230
W1_57	C1	000000	000000	100117	098101	140143	230234
W1_58	C1	000000	000000	108113	094096	140144	230234
W1_59	C1	000000	000000	102108	094108	143150	219230
W1_60	C1	000000	000000	105108	094101	143157	215230
W1_61	C1	000000	000000	100100	101110	140144	230235
W1_62	C1	000000	000000	100111	101120	143143	219230
W1_63	C1	000000	000000	099100	094101	143150	215230
W1_64	C1	000000	000000	099108	092101	140154	219230
W1_65	C1	000000	000000	108111	101120	140143	219230
W1_66	C1	000000	000000	108115	098101	140150	228230
W1_67	C1	000000	000000	100115	094098	140150	228230
W1_68	C1	000000	000000	099108	094101	143150	215230
W1_69	C1	000000	000000	104108	094096	140144	217230
W1_71	C1	000000	000000	100111	094094	000000	217230
W1_72	C1	000000	000000	108108	094101	143147	223230
W1_73	C1	000000	000000	107108	094096	143154	226230
W1_74	C1	000000	000000	099108	092094	143154	219230
W1_75	C1	000000	000000	099108	094101	140150	215230
W1_76	C1	000000	000000	100111	094120	140147	217230
W1_77	C1	000000	000000	100102	094108	143150	000000
W1_78	C1	000000	000000	108111	101112	143154	219230
W1_79	C1	000000	000000	108111	101120	140147	217230
D1_1	C1	223	140	100	000	140	230
D1_2	C1	223	136	108	101	143	230
D1_3	C1	217	140	000	101	143	230
D1_4	C1	223	000	108	094	143	230
D1_5	C1	223	136	100	094	140	230
D1_6	C1	223	136	100	101	140	230
D1_7	C1	000	140	108	000	143	000
D1_8	C1	223	136	000	101	140	230
D1_9	C1	217	136	100	101	140	230
